County Name,Registered Voters,Raila Odinga,William Ruto,Waihiga Mwaure,George Wajackoyah,Total Valid Votes,Rejected Ballots,Total Voters,Percentage Turnout
MOMBASA,642362,161015,113700,482,2104,277301,3812,281113,43.76239566
KWALE,328316,125541,51918,413,1137,179009,1359,180368,54.93731649
KILIFI,588842,204536,77331,1067,2552,285496,3191,288687,49.02622435
TANA RIVER,141110,51390,41505,198,412,93505,1068,94573,67.02076394
LAMU,81468,26160,22876,186,848,50070,887,50957,62.54848529
TAITA TAVETA,182126,81271,29148,249,826,111494,999,112493,61.76657918
GARISSA,201513,81376,28111,77,396,109960,590,110550,54.85998422
WAJIR,207767,83486,49062,217,626,133391,1014,134405,64.69025399
MANDERA,217034,106279,28351,259,676,135565,846,136411,62.85236415
MARSABIT,166944,55675,58782,144,303,114904,481,115385,69.11599099
ISIOLO,89535,26449,32302,52,175,58978,536,59514,66.47009549
MERU,772573,103679,398946,1053,2798,506476,4809,511285,66.17950666
THARAKA,231966,15062,145081,461,974,161578,980,162558,70.07837355
EMBU,334684,31209,187981,523,1335,221048,1899,222947,66.61417935
KITUI,532833,235402,89419,1412,2840,329073,3324,332397,62.38296051
MACHAKOS,687691,304809,101456,1070,2903,410238,3759,413997,60.20102052
MAKUENI,479516,229213,59195,575,1836,290819,1908,292727,61.04634673
NYANDARUA,361217,49228,189519,821,1048,240616,1622,242238,67.06162777
NYERI,482000,52052,272507,982,1339,326880,2271,329151,68.28858921
KIRINYAGA,376137,37909,220984,640,1367,260900,1823,262723,69.84768848
MURANG'A,621027,73526,343349,1530,1938,420343,2554,422897,68.09639516
KIAMBU,1275168,210580,606429,3805,4377,825191,5635,830826,65.1542385
TURKANA,238554,96117,46696,274,445,143532,1099,144631,60.62820158
WEST POKOT,220042,63092,109944,194,375,173705,1258,174963,79.51345652
SAMBURU,100052,41737,28329,62,220,70348,340,70688,70.65126134
TRANS NZOIA,399230,132440,116776,414,883,250513,2470,252983,63.36773289
UASIN GISHU,506317,76009,272868,392,594,349863,2083,351946,69.51099805
ELGEYO/MARAKWET,213904,4893,160033,122,176,165224,1537,166761,77.96067395
NANDI,406393,26034,280813,281,447,307575,1492,309067,76.05126073
BARINGO,281107,41227,175170,220,474,217091,1014,218105,77.58789358
LAIKIPIA,263273,48908,119142,432,602,169084,1336,170420,64.73128654
NAKURU,1055515,226052,455864,1819,2435,686170,5503,691673,65.5294335
NAROK,398852,159455,148310,228,439,308432,1597,310029,77.73033606
KAJIADO,463389,158556,148449,686,933,308624,1647,310271,66.95691956
KERICHO,428126,15053,318861,207,395,334516,1821,336337,78.56028365
BOMET,377023,13383,285428,234,561,299606,1545,301151,79.87602878
KAKAMEGA,844709,357857,141166,1237,3459,503719,5562,509281,60.29070366
VIHIGA,310063,114714,67633,515,1471,184333,2115,186448,60.13229569
BUNGOMA,646612,145280,255906,1581,2384,405151,5516,410667,63.51057512
BUSIA,416818,226042,48801,473,1414,276730,2889,279619,67.08419502
SIAYA,533602,371092,4320,208,734,376354,1894,378248,70.88579128
KISUMU,607496,419997,10011,253,744,431005,2572,433577,71.37116952
HOMA BAY,551111,399784,3497,122,709,404112,2045,406157,73.6978576
MIGORI,469053,294136,52525,297,815,347773,1611,349384,74.48710487
KISII,637111,265078,135326,754,1678,402836,4391,407227,63.91774746
NYAMIRA,323283,129025,78356,345,925,208651,1997,210648,65.15900929
NAIROBI,2416551,767395,561775,4390,5807,1339367,12869,1352236,55.95727133
DIASPORA,10443,3727,2190,31,40,5988,44,6032,57.76117974
